% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
1.5775	1	0	7	7	157	8	1	1	1	15	1	0	4	216
1.6075	1	0	2	2	160	8	1	1	1	15	1	0	26	1862
1.6175	1	0	10	10	161	8	1	1	1	15	1	0	8	428
1.6195	1	0	5	5	162	0	1	1	1	15	1	0	8	428
1.6235	1	0	4	4	162	4	1	1	1	15	1	0	13	699
1.6245	1	0	1	1	162	5	1	1	1	15	1	0	26	1862
1.6275	1	0	8	8	162	8	1	1	2	15	1	0	0	172
1.6285	1	0	6	6	162	9	1	1	2	15	1	0	0	172
1.6295	1	0	3	3	163	0	1	1	1	15	1	0	22	1423
1.634	1	0	9	9	163	5	0	1	3	15	1	0	0	260
1.6395	1	0	7	7	164	0	1	1	1	15	1	0	8	428
1.6705	1	0	5	5	167	1	1	1	1	15	1	0	6	318
1.6725	1	0	4	4	167	3	1	1	1	15	1	0	18	1006
1.6735	1	0	10	10	167	4	1	1	2	15	1	0	4	435
1.6745	1	0	2	2	167	5	1	1	1	15	1	0	26	1862
1.6755	1	0	1	1	167	6	1	1	1	15	1	0	26	1862
1.6775	1	0	6	6	167	8	1	1	2	15	1	0	0	172
1.6775	1	0	3	3	167	8	1	3	1	15	1	0	24	1642
1.6885	1	0	7	7	168	9	1	1	1	15	1	0	8	428
1.7025	1	0	9	9	170	3	1	1	3	15	1	0	0	260
1.7055	1	0	8	8	170	6	1	1	3	15	1	0	0	260
1.7235	1	0	4	4	172	4	1	1	1	15	1	0	20	1203
1.7305	1	0	10	10	173	1	1	1	3	15	1	0	0	260
1.7325	1	0	5	5	173	3	1	1	1	15	1	0	4	216
1.7355	1	0	7	7	173	6	1	1	1	15	1	0	6	318
1.7365	1	0	1	1	173	7	1	1	1	15	1	0	28	2037
1.7375	1	0	6	6	173	8	1	1	2	15	1	0	0	172
1.7405	1	0	2	2	174	1	1	1	1	15	1	0	26	1862
1.7555	1	0	3	3	175	6	1	1	1	15	1	0	18	1006
1.7605	1	0	9	9	176	1	1	1	3	15	1	0	0	260
1.7615	1	0	8	8	176	2	1	1	3	15	1	0	0	260
1.7915	1	0	4	4	179	2	1	1	1	15	1	0	26	1862
1.7935	1	0	1	1	179	4	1	1	1	15	1	0	28	2037
1.7945	1	0	5	5	179	5	1	1	3	15	1	0	2	413
1.8005	1	0	7	7	180	1	1	1	2	15	1	0	2	274
1.8005	1	0	2	2	180	1	1	3	1	15	1	0	24	1642
1.806	1	0	6	6	180	7	0	1	3	15	1	0	0	260
1.8125	1	0	8	8	181	3	1	1	3	15	1	0	0	260
1.8165	1	0	10	10	181	7	1	1	3	15	1	0	0	260
1.8195	1	0	3	3	182	0	1	1	1	15	1	0	18	1006
1.8215	1	0	9	9	182	2	1	1	3	15	1	0	0	260
1.8485	1	0	2	2	184	9	1	1	1	15	1	0	26	1862
1.8575	1	0	7	7	185	8	1	1	2	15	1	0	2	274
1.8575	1	0	6	6	185	8	1	3	2	15	1	0	0	172
1.8575	1	0	4	4	185	8	1	5	1	15	1	0	28	2037
1.8605	1	0	1	1	186	1	1	1	1	15	1	0	28	2037
1.863	1	0	10	10	186	4	0	1	2	15	1	0	0	172
1.8635	1	0	5	5	186	4	1	1	2	15	1	0	0	172
1.8665	1	0	8	8	186	7	1	1	2	15	1	0	0	172
1.8665	1	0	3	3	186	7	1	3	1	15	1	0	18	1006
1.8795	1	0	9	9	188	0	1	1	2	15	1	0	2	274
1.9035	1	0	2	2	190	4	1	1	1	15	1	0	26	1862
1.9075	1	0	6	6	190	8	1	1	2	15	1	0	0	172
1.9105	1	0	7	7	191	1	1	1	2	15	1	0	0	172
1.9135	1	0	10	10	191	4	1	1	1	15	1	0	4	216
1.9145	1	0	5	5	191	5	1	1	3	15	1	0	0	260
1.9145	1	0	4	4	191	5	1	4	1	15	1	0	26	1862
1.9205	1	0	1	1	192	1	1	1	1	15	1	0	26	1862
