Time	CellId	RNTI	BWPId	SINR(dB)
0.0796786	1	1	0	29.5789
0.0805714	1	4	0	17.5318
0.0806071	1	3	0	7.47431
0.0806429	1	2	0	32.7372
0.0806786	1	1	0	29.5504
0.0814643	1	4	0	18.3668
0.0815714	1	4	0	19.2133
0.0816071	1	3	0	7.28647
0.0816429	1	2	0	32.5106
0.0816786	1	1	0	29.548
0.0824643	1	1	0	29.7461
0.0825714	1	4	0	17.4161
0.0826071	1	3	0	7.15173
0.0826429	1	2	0	32.8393
0.0826786	1	1	0	29.4912
0.0835714	1	4	0	12.6878
0.0836071	1	3	0	7.09014
0.0836429	1	2	0	32.9443
0.0836786	1	1	0	29.554
0.0845714	1	4	0	17.0436
0.0846071	1	3	0	7.11138
0.0846429	1	2	0	33.4867
0.0846786	1	1	0	29.6104
0.0854643	1	1	0	28.6797
0.0855714	1	4	0	17.1011
0.0856071	1	3	0	7.14493
0.0856429	1	2	0	34.2033
0.0856786	1	1	0	29.57
0.0864643	1	1	0	27.5165
0.0864643	1	4	0	-13.4127
0.0865714	1	4	0	17.3152
0.0866071	1	3	0	7.46378
0.0866429	1	2	0	34.7568
0.0866786	1	1	0	29.5939
0.0874643	1	4	0	14.593
0.0875714	1	4	0	17.0603
0.0876071	1	3	0	7.52364
0.0876429	1	2	0	34.8045
0.0876786	1	1	0	29.6457
0.0889643	1	4	0	14.9701
0.0891071	1	4	0	15.922
0.0891429	1	3	0	7.78477
0.0891786	1	2	0	34.9294
0.0892143	1	1	0	29.5946
0.0895714	1	4	0	12.5065
0.0896071	1	3	0	7.45516
0.0896429	1	2	0	34.891
0.0896786	1	1	0	29.5773
0.0905714	1	4	0	17.1293
0.0906071	1	3	0	7.29864
0.0906429	1	2	0	34.4593
0.0906786	1	1	0	29.5819
0.0919643	1	1	0	29.4505
0.0924643	1	1	0	26.55
0.0924643	1	4	0	-14.6848
0.0925714	1	4	0	15.8107
0.0926071	1	3	0	7.09766
0.0926429	1	2	0	33.958
0.0926786	1	1	0	29.6501
0.0935714	1	4	0	13.8213
0.0936071	1	3	0	7.14158
0.0936429	1	2	0	33.9678
0.0936786	1	1	0	29.6318
0.0949643	1	4	0	16.846
0.0951071	1	4	0	15.2038
0.0951429	1	3	0	7.5211
0.0951786	1	2	0	34.0041
0.0952143	1	1	0	29.6155
0.0955714	1	4	0	10.8897
0.0956071	1	3	0	7.40805
0.0956429	1	2	0	34.0611
0.0956786	1	1	0	29.5872
0.0965714	1	4	0	16.5098
0.0966071	1	3	0	7.42792
0.0966429	1	2	0	34.492
0.0966786	1	1	0	29.6165
0.0975714	1	4	0	16.3946
0.0976071	1	3	0	7.73846
0.0976429	1	2	0	34.4154
0.0976786	1	1	0	29.6515
0.0984643	1	4	0	13.8164
0.0985714	1	4	0	17.1158
0.0986071	1	3	0	7.77104
0.0986429	1	2	0	34.1887
0.0986786	1	1	0	29.7637
0.0994643	1	1	0	29.4055
0.0995714	1	4	0	10.7148
0.0996071	1	3	0	7.8849
0.0996429	1	2	0	33.8406
0.0996786	1	1	0	29.7469
0.100464	1	1	0	29.0655
0.100464	1	4	0	-20.7
0.100571	1	4	0	13.8701
0.100607	1	3	0	7.45925
0.100643	1	2	0	33.632
0.100679	1	1	0	29.8353
0.101571	1	4	0	14.6702
0.101607	1	3	0	7.58409
0.101643	1	2	0	32.6117
0.101679	1	1	0	29.8185
0.102464	1	4	0	12.5425
0.102964	1	4	0	11.043
0.103464	1	4	0	12.7206
0.103571	1	4	0	13.7451
0.103607	1	3	0	7.61833
0.103643	1	2	0	32.0074
0.103679	1	1	0	29.8079
0.104571	1	4	0	14.8706
0.104607	1	3	0	7.40383
0.104643	1	2	0	32.3982
0.104679	1	1	0	29.7818
0.105464	1	4	0	13.0244
0.105571	1	4	0	14.1092
0.105607	1	3	0	7.48557
0.105643	1	2	0	32.7685
0.105679	1	1	0	29.8054
0.106571	1	4	0	15.7077
0.106607	1	3	0	7.47322
0.106643	1	2	0	33.5352
0.106679	1	1	0	29.824
0.107571	1	4	0	14.9893
0.107607	1	3	0	7.19916
0.107643	1	2	0	33.9319
0.107679	1	1	0	29.837
0.108464	1	1	0	25.139
0.108464	1	4	0	-16.7344
0.108571	1	4	0	15.1091
0.108607	1	3	0	7.35693
0.108643	1	2	0	34.0751
0.108679	1	1	0	29.8545
0.109571	1	4	0	13.8837
0.109607	1	3	0	7.42894
0.109643	1	2	0	34.0124
0.109679	1	1	0	29.7868
0.110964	1	4	0	7.60397
0.111107	1	4	0	12.7571
0.111143	1	3	0	8.1218
0.111179	1	2	0	34.0251
0.111214	1	1	0	29.848
0.111571	1	4	0	14.4322
0.111607	1	3	0	8.05756
0.111643	1	2	0	33.8863
0.111679	1	1	0	29.8729
0.112571	1	4	0	17.8822
0.112607	1	3	0	8.05119
0.112643	1	2	0	33.3511
0.112679	1	1	0	29.8222
0.113571	1	4	0	14.7376
0.113607	1	3	0	7.93495
0.113643	1	2	0	33.4265
0.113679	1	1	0	29.8042
0.114464	1	4	0	15.918
0.114571	1	4	0	15.7677
0.114607	1	3	0	7.66192
0.114643	1	2	0	34.0118
0.114679	1	1	0	29.7634
0.115571	1	4	0	16.1942
0.115607	1	3	0	7.49706
0.115643	1	2	0	34.3874
0.115679	1	1	0	29.7113
0.116464	1	4	0	10.3732
0.116571	1	4	0	15.3671
0.116607	1	3	0	7.41694
0.116643	1	2	0	34.6271
0.116679	1	1	0	29.7947
0.117571	1	4	0	16.8493
0.117607	1	3	0	7.45028
0.117643	1	2	0	35.1283
0.117679	1	1	0	29.8822
0.118464	1	4	0	13.9641
0.118571	1	4	0	18.0357
0.118607	1	3	0	7.37497
0.118643	1	2	0	35.2296
0.118679	1	1	0	29.891
0.119571	1	4	0	15.2702
0.119607	1	3	0	7.40244
0.119643	1	2	0	34.9495
0.119679	1	1	0	29.825
0.120571	1	4	0	13.0749
0.120607	1	3	0	7.474
0.120643	1	2	0	34.669
0.120679	1	1	0	29.7631
0.121571	1	4	0	18.5887
0.121607	1	3	0	7.44639
0.121643	1	2	0	34.0914
0.121679	1	1	0	29.7405
0.122571	1	4	0	18.8415
0.122607	1	3	0	7.4456
0.122643	1	2	0	33.6017
0.122679	1	1	0	29.7048
0.123464	1	4	0	13.5633
0.123571	1	4	0	17.2234
0.123607	1	3	0	7.55276
0.123643	1	2	0	32.688
0.123679	1	1	0	29.6962
0.124571	1	4	0	14.8334
0.124607	1	3	0	7.71969
0.124643	1	2	0	32.6747
0.124679	1	1	0	29.6875
0.125571	1	4	0	17.6129
0.125607	1	3	0	7.84225
0.125643	1	2	0	33.4145
0.125679	1	1	0	29.6532
0.126571	1	4	0	14.8091
0.126607	1	3	0	7.80431
0.126643	1	2	0	33.7687
0.126679	1	1	0	29.6532
0.127464	1	4	0	16.3289
0.127571	1	4	0	17.9354
0.127607	1	3	0	8.06129
0.127643	1	2	0	34.1146
0.127679	1	1	0	29.5922
0.128464	1	4	0	16.9214
0.128571	1	4	0	17.7
0.128607	1	3	0	7.96161
0.128643	1	2	0	34.622
0.128679	1	1	0	29.5552
0.129571	1	4	0	17.2597
0.129607	1	3	0	7.69719
0.129643	1	2	0	34.6619
0.129679	1	1	0	29.5345
0.130571	1	4	0	12.0519
0.130607	1	3	0	7.54133
0.130643	1	2	0	34.32
0.130679	1	1	0	29.5189
0.131571	1	4	0	19.5221
0.131607	1	3	0	7.50985
0.131643	1	2	0	34.128
0.131679	1	1	0	29.4853
0.132571	1	4	0	15.7849
0.132607	1	3	0	7.63496
0.132643	1	2	0	33.8061
0.132679	1	1	0	29.4982
0.133429	1	4	0	19.8454
0.133571	1	4	0	17.1562
0.133607	1	3	0	7.85277
0.133643	1	2	0	33.3544
0.133679	1	1	0	29.5238
0.134571	1	4	0	15.808
0.134607	1	3	0	8.12183
0.134643	1	2	0	32.9226
0.134679	1	1	0	29.5671
0.135571	1	4	0	16.17
0.135607	1	3	0	8.17067
0.135643	1	2	0	33.6607
0.135679	1	1	0	29.5932
0.136571	1	4	0	12.5194
0.136607	1	3	0	8.28411
0.136643	1	2	0	34.3849
0.136679	1	1	0	29.5972
0.137464	1	4	0	17.6371
0.137571	1	4	0	16.8372
0.137607	1	3	0	8.15707
0.137643	1	2	0	34.8523
0.137679	1	1	0	29.6857
0.138571	1	4	0	17.1213
0.138607	1	3	0	8.08895
0.138643	1	2	0	35.4641
0.138679	1	1	0	29.7583
0.139464	1	4	0	15.5942
0.139571	1	4	0	15.7442
0.139607	1	3	0	8.12439
0.139643	1	2	0	35.7068
0.139679	1	1	0	29.7885
0.140571	1	4	0	13.7894
0.140607	1	3	0	8.09212
0.140643	1	2	0	35.6073
0.140679	1	1	0	29.8654
0.141571	1	4	0	15.169
0.141607	1	3	0	8.10412
0.141643	1	2	0	35.3618
0.141679	1	1	0	29.9185
0.142571	1	4	0	16.8811
0.142607	1	3	0	8.08107
0.142643	1	2	0	34.9825
0.142679	1	1	0	29.903
0.143464	1	4	0	12.2387
0.143571	1	4	0	15.9457
0.143607	1	3	0	8.1171
0.143643	1	2	0	34.7304
0.143679	1	1	0	29.8624
0.144464	1	4	0	12.3532
0.144571	1	4	0	14.4486
0.144607	1	3	0	8.04439
0.144643	1	2	0	34.2916
0.144679	1	1	0	29.879
0.145464	1	4	0	8.96787
0.145571	1	4	0	15.0565
