% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.0835	1	0	0	3	8	4	1	2	1	14	1	0	6	318
0.0835	1	0	0	2	8	4	1	3	1	14	1	0	26	1862
0.0835	1	0	0	1	8	4	1	4	1	15	1	0	26	1862
0.0845	1	0	0	4	8	5	1	1	1	13	1	0	15	874
0.0845	1	0	0	3	8	5	1	2	1	13	1	0	6	318
0.0845	1	0	0	2	8	5	1	3	1	13	1	0	26	1862
0.0845	1	0	0	1	8	5	1	4	1	14	1	0	24	1642
0.0855	1	0	0	4	8	6	1	1	1	12	1	0	13	699
0.0855	1	0	0	3	8	6	1	2	1	15	1	0	6	318
0.0855	1	0	0	2	8	6	1	3	1	15	1	0	26	1862
0.0855	1	0	0	1	8	6	1	4	1	11	1	0	24	1642
0.0865	1	0	0	4	8	7	1	1	1	11	1	0	18	1006
0.0865	1	0	0	3	8	7	1	2	1	14	1	0	6	318
0.0865	1	0	0	2	8	7	1	3	1	14	1	0	26	1862
0.0865	1	0	0	1	8	7	1	4	1	15	1	0	26	1862
0.088	1	0	0	4	8	9	0	1	2	13	1	0	0	172
0.088	1	0	0	3	8	9	0	3	1	15	1	0	6	318
0.088	1	0	0	2	8	9	0	4	1	15	1	0	26	1862
0.088	1	0	0	1	8	9	0	5	1	14	1	0	28	2037
0.0885	1	0	0	4	8	9	1	1	1	14	1	0	18	1006
0.0885	1	0	0	3	8	9	1	2	1	13	1	0	6	318
0.0885	1	0	0	2	8	9	1	3	1	13	1	0	26	1862
0.0885	1	0	0	1	8	9	1	4	1	13	1	0	26	1862
0.0895	1	0	0	4	9	0	1	1	1	12	1	0	18	1006
0.0895	1	0	0	3	9	0	1	2	1	14	1	0	6	318
0.0895	1	0	0	2	9	0	1	3	1	14	1	0	26	1862
0.0895	1	0	0	1	9	0	1	4	1	15	1	0	26	1862
0.0915	1	0	0	4	9	2	1	1	1	15	1	0	13	699
0.0915	1	0	0	3	9	2	1	2	1	15	1	0	6	318
0.0915	1	0	0	2	9	2	1	3	1	15	1	0	26	1862
0.0915	1	0	0	1	9	2	1	4	1	12	1	0	26	1862
0.0925	1	0	0	4	9	3	1	1	1	13	1	0	15	874
0.0925	1	0	0	3	9	3	1	2	1	14	1	0	6	318
0.0925	1	0	0	2	9	3	1	3	1	14	1	0	26	1862
0.0925	1	0	0	1	9	3	1	4	1	15	1	0	26	1862
0.094	1	0	0	4	9	5	0	1	2	15	1	0	0	172
0.094	1	0	0	3	9	5	0	3	1	15	1	0	6	318
0.094	1	0	0	2	9	5	0	4	1	15	1	0	26	1862
0.094	1	0	0	1	9	5	0	5	1	14	1	0	26	1862
0.0945	1	0	0	4	9	5	1	1	1	12	1	0	18	1006
0.0945	1	0	0	3	9	5	1	2	1	13	1	0	6	318
0.0945	1	0	0	2	9	5	1	3	1	13	1	0	26	1862
0.0945	1	0	0	1	9	5	1	4	1	13	1	0	26	1862
0.0955	1	0	0	4	9	6	1	1	1	13	1	0	18	1006
0.0955	1	0	0	3	9	6	1	2	1	14	1	0	6	318
0.0955	1	0	0	2	9	6	1	3	1	14	1	0	26	1862
0.0955	1	0	0	1	9	6	1	4	1	15	1	0	26	1862
0.0965	1	0	0	4	9	7	1	1	1	15	1	0	28	2037
0.0965	1	0	0	3	9	7	1	2	1	15	1	0	6	318
0.0965	1	0	0	2	9	7	1	3	1	15	1	0	26	1862
0.0965	1	0	0	1	9	7	1	4	1	14	1	0	26	1862
0.0975	1	0	0	4	9	8	1	1	1	14	1	0	6	318
0.0975	1	0	0	3	9	8	1	2	1	13	1	0	6	318
0.0975	1	0	0	2	9	8	1	3	1	13	1	0	26	1862
0.0975	1	0	0	1	9	8	1	4	1	13	1	0	26	1862
0.0985	1	0	0	4	9	9	1	1	1	13	1	0	18	1006
0.0985	1	0	0	3	9	9	1	2	1	14	1	0	6	318
0.0985	1	0	0	2	9	9	1	3	1	14	1	0	26	1862
0.0985	1	0	0	1	9	9	1	4	1	12	1	0	24	1642
0.0995	1	0	0	4	10	0	1	1	1	12	1	0	18	1006
0.0995	1	0	0	3	10	0	1	2	1	15	1	0	6	318
0.0995	1	0	0	2	10	0	1	3	1	15	1	0	26	1862
0.0995	1	0	0	1	10	0	1	4	1	11	1	0	24	1642
0.1005	1	0	0	4	10	1	1	1	1	14	1	0	13	699
0.1005	1	0	0	3	10	1	1	2	1	13	1	0	6	318
0.1005	1	0	0	2	10	1	1	3	1	13	1	0	26	1862
0.1005	1	0	0	1	10	1	1	4	1	15	1	0	24	1642
0.1025	1	0	0	4	10	3	1	1	1	11	1	0	15	874
0.1025	1	0	0	3	10	3	1	2	1	15	1	0	6	318
0.1025	1	0	0	2	10	3	1	3	1	15	1	0	26	1862
0.1025	1	0	0	1	10	3	1	4	1	14	1	0	24	1642
0.1035	1	0	0	4	10	4	1	1	1	14	1	0	13	699
0.1035	1	0	0	3	10	4	1	2	1	14	1	0	6	318
0.1035	1	0	0	2	10	4	1	3	1	14	1	0	26	1862
0.1035	1	0	0	1	10	4	1	4	1	15	1	0	26	1862
0.1045	1	0	0	4	10	5	1	1	1	13	1	0	22	1423
0.1045	1	0	0	3	10	5	1	2	1	13	1	0	6	318
0.1045	1	0	0	2	10	5	1	3	1	13	1	0	26	1862
0.1045	1	0	0	1	10	5	1	4	1	13	1	0	26	1862
0.1055	1	0	0	4	10	6	1	1	1	12	1	0	15	874
0.1055	1	0	0	3	10	6	1	2	1	15	1	0	6	318
0.1055	1	0	0	2	10	6	1	3	1	15	1	0	26	1862
0.1055	1	0	0	1	10	6	1	4	1	14	1	0	24	1642
0.1065	1	0	0	4	10	7	1	1	1	15	1	0	18	1006
0.1065	1	0	0	3	10	7	1	2	1	14	1	0	6	318
0.1065	1	0	0	2	10	7	1	3	1	14	1	0	26	1862
0.1065	1	0	0	1	10	7	1	4	1	15	1	0	24	1642
0.1075	1	0	0	4	10	8	1	1	1	14	1	0	13	699
0.1075	1	0	0	3	10	8	1	2	1	13	1	0	6	318
0.1075	1	0	0	2	10	8	1	3	1	13	1	0	26	1862
0.1075	1	0	0	1	10	8	1	4	1	12	1	0	24	1642
0.1085	1	0	0	4	10	9	1	1	1	12	1	0	15	874
0.1085	1	0	0	3	10	9	1	2	1	15	1	0	6	318
0.1085	1	0	0	2	10	9	1	3	1	15	1	0	26	1862
0.1085	1	0	0	1	10	9	1	4	1	14	1	0	24	1642
0.11	1	0	0	4	11	1	0	1	2	15	1	0	0	172
0.11	1	0	0	3	11	1	0	3	1	14	1	0	6	318
0.11	1	0	0	2	11	1	0	4	1	14	1	0	26	1862
0.11	1	0	0	1	11	1	0	5	1	15	1	0	24	1642
0.1105	1	0	0	4	11	1	1	1	1	14	1	0	15	874
0.1105	1	0	0	3	11	1	1	2	1	13	1	0	6	318
0.1105	1	0	0	2	11	1	1	3	1	13	1	0	26	1862
0.1105	1	0	0	1	11	1	1	4	1	13	1	0	24	1642
0.1115	1	0	0	4	11	2	1	1	1	12	1	0	13	699
0.1115	1	0	0	3	11	2	1	2	1	15	1	0	6	318
0.1115	1	0	0	2	11	2	1	3	1	15	1	0	26	1862
0.1115	1	0	0	1	11	2	1	4	1	14	1	0	26	1862
0.1125	1	0	0	4	11	3	1	1	1	15	1	0	22	1423
0.1125	1	0	0	3	11	3	1	2	1	14	1	0	6	318
0.1125	1	0	0	2	11	3	1	3	1	14	1	0	26	1862
0.1125	1	0	0	1	11	3	1	4	1	15	1	0	26	1862
0.1135	1	0	0	4	11	4	1	1	1	13	1	0	13	699
0.1135	1	0	0	3	11	4	1	2	1	13	1	0	6	318
0.1135	1	0	0	2	11	4	1	3	1	13	1	0	26	1862
0.1135	1	0	0	1	11	4	1	4	1	13	1	0	26	1862
0.1145	1	0	0	4	11	5	1	1	1	12	1	0	20	1203
0.1145	1	0	0	3	11	5	1	2	1	15	1	0	6	318
0.1145	1	0	0	2	11	5	1	3	1	15	1	0	26	1862
0.1145	1	0	0	1	11	5	1	4	1	14	1	0	24	1642
0.1155	1	0	0	4	11	6	1	1	1	14	1	0	13	699
0.1155	1	0	0	3	11	6	1	2	1	14	1	0	6	318
0.1155	1	0	0	2	11	6	1	3	1	14	1	0	26	1862
0.1155	1	0	0	1	11	6	1	4	1	15	1	0	26	1862
0.1165	1	0	0	4	11	7	1	1	1	13	1	0	18	1006
0.1165	1	0	0	3	11	7	1	2	1	13	1	0	6	318
0.1165	1	0	0	2	11	7	1	3	1	13	1	0	26	1862
0.1165	1	0	0	1	11	7	1	4	1	13	1	0	26	1862
0.1175	1	0	0	4	11	8	1	1	1	15	1	0	18	1006
0.1175	1	0	0	3	11	8	1	2	1	15	1	0	6	318
0.1175	1	0	0	2	11	8	1	3	1	15	1	0	26	1862
0.1175	1	0	0	1	11	8	1	4	1	14	1	0	26	1862
0.1185	1	0	0	4	11	9	1	1	1	14	1	0	13	699
0.1185	1	0	0	3	11	9	1	2	1	14	1	0	6	318
0.1185	1	0	0	2	11	9	1	3	1	14	1	0	26	1862
0.1185	1	0	0	1	11	9	1	4	1	15	1	0	26	1862
0.1195	1	0	0	4	12	0	1	1	1	13	1	0	18	1006
0.1195	1	0	0	3	12	0	1	2	1	13	1	0	6	318
0.1195	1	0	0	2	12	0	1	3	1	13	1	0	26	1862
0.1195	1	0	0	1	12	0	1	4	1	13	1	0	26	1862
0.1205	1	0	0	4	12	1	1	1	1	15	1	0	18	1006
0.1205	1	0	0	3	12	1	1	2	1	15	1	0	6	318
0.1205	1	0	0	2	12	1	1	3	1	15	1	0	26	1862
0.1205	1	0	0	1	12	1	1	4	1	14	1	0	26	1862
